weight_decay,batch_size,lr,momentum,optimizer,accuracy,recall,precision,f1,roc_auc,val_loss
0.0,128,0.0001,0.95,Adam,0.9157575757575758,0.24666666666666667,0.5873015873015873,0.3474178403755869,0.7897022222222223,0.3094050336245335
0.001,128,0.01,0.9,RMSprop,0.9157575757575758,0.24666666666666667,0.5873015873015873,0.3474178403755869,0.7897022222222223,0.3094050336245335
1e-05,64,0.0001,0.9,RMSprop,0.9127272727272727,0.4,0.5263157894736842,0.45454545454545453,0.8772355555555555,0.40858922965598826
0.0001,32,0.1,0.9,RMSprop,0.8642424242424243,0.12666666666666668,0.16964285714285715,0.1450381679389313,0.5314599999999999,2180.2087359434186
0.0001,32,0.1,0.95,SGD,0.9006060606060606,0.30666666666666664,0.4339622641509434,0.359375,0.8716222222222222,0.24285761367190967
1e-05,128,0.01,0.95,Adam,0.8321212121212122,0.6266666666666667,0.2984126984126984,0.4043010752688172,0.8355022222222223,0.4592803993730834
1e-05,128,0.1,0.9,SGD,0.9078787878787878,0.54,0.49390243902439024,0.5159235668789809,0.9007422222222223,0.23987560311953227
0.0001,32,0.0001,0.9,RMSprop,0.9115151515151515,0.28,0.525,0.3652173913043478,0.8458711111111111,0.2646663443247477
0.001,128,0.1,0.95,AdamW,0.9103030303030303,0.013333333333333334,1.0,0.02631578947368421,0.6833288888888889,0.281298376827529
0.001,32,0.01,0.9,AdamW,0.9103030303030303,0.013333333333333334,1.0,0.02631578947368421,0.6833288888888889,0.28129795684958947
